,text,neg,neu,pos,compound
6525,"Happy Earth Day everybody! 💚
#WastelessPlanet #EarthDay #EarthDay2020 #EarthDayAtHome #ecofriendly #eco #sustainable #sustainability #green #environment #wasteless #reuse #recycle #upcycle #repurpose #reduce #sustainableliving #climatechange #sustainablefashion #savetheplanet pic.twitter.com/1TSLGNOBds",0.0,0.857,0.143,0.6114
433,"🌅 Happy World Environment Day !
•
•
•
•
•
•
#earth #world #planet #environmental #environment #nature #climatechange #ecofriendly #sustainable #eco #environmentallyfriendly #environmentalist #sustainability #green…  https://www.instagram.com/p/CBCq-IphCqB/?igshid=1herh5agg4lav …",0.0,0.818,0.182,0.6114
6601,"Happy Earth Day from all of us at FROMM Packaging Ltd!
#EarthDay #sustainability #recycling #sustainable #packagingsolutions #ecofriendly #solarpower pic.twitter.com/EcDmyjl9mI",0.0,0.818,0.182,0.6114
10081,"Today is World Water Day! This years theme is ""Water and Climate Change"" and explores how the two issues are inextricably linked.
🌊
How are you celebrating #WorldWaterDay?
🌊
#sustainability #sustainable #environment #stem #greenliving #oceans #climate #climatechange pic.twitter.com/tozSecG63t",0.0,0.898,0.102,0.6114
1312,"Happy World #Environment day from the :m team! 

#mondora #BCorp#BTheChange #Farmer #SaveThePlanet #Sustainable #Agricolture #Land #Sustainability #LifeOnLand #Innovation pic.twitter.com/XlEnjh8L6e",0.0,0.818,0.182,0.6114
6441,Happy #EarthDay! Check out this #LiquidLounge interview I did at the @NewWestSummit last year talking about #vape recycling and other ways the #cannabis industry is working to be more #sustainable. #sustainability #EarthDay2020 @RickyDanny @MediaJel https://vimeo.com/388695692 ,0.0,0.892,0.108,0.6114
1361,"Happy World Environment Day! #elyaf #elyaftextile #elyaffabrics #naturaldye #fabrics #nature #sustainable #sustainablefashion #sustainability #heritage #HeritagebyElyaf #WorldEnvironmentDay #5June #environment
#Environmentalfriendly #Ecologic #Ecofriendly pic.twitter.com/SYXEW5cpfw",0.0,0.84,0.16,0.6114
6377,"Happy Belated Earthday!

#EarthDay2020 #EarthDay #planetearth #EarthDay50 #EarthDayAtHome #environmentalsustainability #sustainableenergy #sustainability #climatechange #sustainablefuture #sustainable  pic.twitter.com/oi7iIzGqsz",0.0,0.778,0.222,0.6114
704,"Eager to know the development of green finance in #HK, #China and worldwide? Join the #seminar by HKQAA on July 17, 2:30pm-5pm!
Register to reserve a spot:  https://lnkd.in/gUkevrd 
#greenfinance #BeltandRoad #sustainable #sustainability #sustainablefinance #sustainabledevelopment",0.0,0.861,0.139,0.6114
213,"🌍 💚 Happy World Environment Day!
..
#environment #nature #sustainability #climatechange #ecofriendly #savetheplanet #zerowaste #sustainable #gogreen #earth #green #recycle #eco #plasticfree #globalwarming #climate #sustainableliving #environmentallyfriendly pic.twitter.com/8se0VrNNDm",0.0,0.852,0.148,0.6114
6485,Happy Earth Day! #eco #ecofriendly #zerowaste #sustainable #nature #green #sustainability #plasticfree #environment #recycle #reuse #sustainableliving #noplastic #ecology #choosetoreuse pic.twitter.com/IslHJLpTiS,0.0,0.818,0.182,0.6114
232,"🌎💚 Happy World Environment Day 2020! 🌎💚
#WorldEnvironmentDay #WorldEnvironmentDay2020 #EcoFriendly #Sustainable #Sustainability #EcoSystem #SaveOurEcoSystem #SaveEnvironement #TimeForNature #LoktaCards #LoktaPaper #GreetingCard #HandMade #PlantBasedProduct #PlantBased pic.twitter.com/ioCO4xgXmu",0.0,0.846,0.154,0.6114
3216,"Wednesday Wisdom! 😊☀️ Solar Fact!  Learn more at  http://unlimitedsolar.com 
.
.
#environment #nature #climatechange #sustainability #ecofriendly #savetheplanet #gogreen #earth #green #sustainable #zerowaste #recycle #plasticfree #eco #globalwarming #pollution #reuse #solar pic.twitter.com/r5Xhlsz3Cs",0.0,0.871,0.129,0.6103
3466,#teachsdgs we won’t stop! It’s our mission to see that young people hop on board for #action & #advocacy as young people are very key to the success of the #globalgoals its a bandwagon worth joining! #sdgs #Sustainability #sustainable #thismonthsdgs #thisweekonsdgs #todayonsdgs pic.twitter.com/E9abFw37eL,0.047,0.819,0.133,0.6103
11734,"We have built @impakterup for all the #startups that are ready to make our planet more #sustainable.

Join us:  https://buff.ly/2NtK5v5 
#impactinvesting #SDGs #sustainability  pic.twitter.com/PPdDl8X66F",0.0,0.815,0.185,0.6096
6575,"During #isolation we've picked up some new #sustainable  habits. Although we've always been conscious of #sustainability this time has taught us even more. Today we celebrate #EarthDay50 🌏💕

What new habits have you picked up during #lockdown?",0.0,0.901,0.099,0.6077
4350,"#localsourcing on my balcony. Interesting to know: you can eat the green of the radish without any problems. Just put it into your salad with some pumpkin seed oil extremly delecious
#Sustainability #sustainable #reducewaste #gesund #homegardening pic.twitter.com/19wBxFTWyw",0.0,0.876,0.124,0.607
6475,"ECO FRIENDLY RECYCLED SPANDEX
 https://bit.ly/2RYXAUl 
#EarthDay50 #fabrics #textile
#ecofriendly #zerowaste #sustainable #sustainability #eco #plasticfree #gogreen #handmade",0.0,0.792,0.208,0.6037
8609,"ECO FRIENDLY RECYCLED SPANDEX
 https://spandexbyyard.com/collections/eco-friendly-recycled-spandex …
#ecofriendly #zerowaste #sustainable #sustainability #eco #plasticfree #gogreen #handmade #fabrics",0.0,0.768,0.232,0.6037
7399,"Bamboo at its work. Making my house 🏡 beautiful.
#bamboo
#beautiful
#safeplanet
#biodegradable
#sustainability
#Sustainable
#Reusable pic.twitter.com/76C6pZMbJX",0.0,0.794,0.206,0.5994
12193,"transition to a #sustainable future. And, so, #Americans, we now have two choices: A 3rd Party #Sanders run and #WeThepeople doing sustainability from the ground up, or just #WeThePeople creating #sustainability from the ground up. What say you? DM me if this speaks to you:  pic.twitter.com/bvoI3hWX80",0.0,0.896,0.104,0.5994
12581,"#Energy is just one part of #sustainability. It also means protecting our #environment, educating our #children, and helping those with #housing needs or #foodinsecurity. See all the ways we support the #UN #Sustainable Development #Goals:  http://ow.ly/7NqS50yCLxi  #energyforlife pic.twitter.com/FJcWBcZTF4",0.0,0.88,0.12,0.5994
2248,"3

A new driver for #economy must include reforms of all laws that regulate business activities to ensure the responsible attitude of industries 

#ClimateChange #environment #sustainability #Sustainable #sustainabledevelopment #Facts #Truth #Resistance #Resisters #resist #fact pic.twitter.com/kZXGoEs9jS",0.0,0.864,0.136,0.5994
5585,"e-dye is #sustainable. Learn how we put #color into the #yarn, saving #water, reducing pollution and harmful chemicals and bringing beautiful colors to polyester #textiles. Learn more at  http://www.e-dye.com  #ecofriendly #eco #sustainability #colorfast pic.twitter.com/wG5P0XohWm",0.0,0.894,0.106,0.5994
4543,"Bamboo container set...
Store all your products in these beautiful containers...
#bamboo # bambootray #naturalproducts #eco #ecofriendlyliving #ecofriendlyproducts #mothernature #safeplanetearth🌍 #safeplanet #sustainablelifestyle #sustainableliving #sustainable #sustainability  pic.twitter.com/dTCpEszZYb",0.0,0.86,0.14,0.5994
8593,"The world is a beautiful place. Check out our blog to see how the fashion industry is trying to preserve that.

#sustainability #sustainablefashion #fashion #nature #world #plain #plainclothingstore #sustainable #greenworld #green #outdoors #mountains #beautiful pic.twitter.com/0pkQljdOCk",0.0,0.894,0.106,0.5994
4611,"Using #KendorTextiles to create sustainable safety gear for local communities. 🌎
#PPE #EmergencyPlanning #EmergencyManagement #EOC #ICS #Sustainable #sustainability #ShopLocal #DeltaBC pic.twitter.com/UOrwzofVAH",0.0,0.786,0.214,0.5994
2140,We have always loved the idea kf #sustainability. We have something #sustainable up our sleeves for our new year 7 cohort. #WatchThisSpace https://twitter.com/edengirlsWF/status/1200012211768442882 …,0.0,0.843,0.157,0.5994
9555,"New brand, new designs, beautiful products.
#cork #corkbrand #corkelement #sustainablefashion #sustainability #sustainable #sustainablestyle #ethicallymade #ethicalfashion #fashion #fashionista #fashionstyle #fashionaccessory #vegan #veganleather #veganfashion #design #ethical pic.twitter.com/0oTx5mGs05",0.0,0.86,0.14,0.5994
6515,Savannah commits to 100% clean energy transition by 2035 #netzero #sustainability #green #environment #community #sustainable #collaboration #kindnessontheplanet  http://ow.ly/ZQDo50zeoXI  pic.twitter.com/wqFbCN7rLQ,0.0,0.731,0.269,0.5994
11360,".@HP is creating more #sustainable workplaces by evolving everything from building design to #technology selection to business practices that support local and remote workers.  http://ij.ext.hp.com/mag/0663640001574727998/p22 …
#sustainability #remotework #futureofwork",0.0,0.841,0.159,0.5994
13720,"Transcend is pleased to see this important legislation moving forward #legislation #plasticpollution #paperstraws #sustainability #sustainable
 https://www.letsrecycle.com/news/latest-news/legislation-to-ban-plastic-straws-enters-parliament/ …",0.0,0.741,0.259,0.5994
12194,"transition to a #sustainable future.

And, so, #Americans, we now have two choices: A 3rd Party #Sanders run and #WeThepeople doing sustainability from the ground up, or just #WeThePeople creating #sustainability from the ground up.

What say you? DM me if this speaks to you:  pic.twitter.com/eOcct9bhuv",0.0,0.896,0.104,0.5994
10709,"♻️Today is #GlobalRecyclingDay - Our Sustainability Scheme details will be shared shortly. We are keen to talk to you about how, together, we can do our bit to look after the environment. #sustainability #sustainable #sustainabilityscheme #pinksheepsustainability pic.twitter.com/ZCpSTWwx6O",0.0,0.874,0.126,0.5994
6516,Savannah commits to 100% clean energy transition by 2035 #netzero #sustainability #green #environment #community #sustainable #collaboration #kindnessontheplanet  http://ow.ly/sUSu50zeoXJ  pic.twitter.com/N5EmQJHxVV,0.0,0.731,0.269,0.5994
12631,"In a recent Q&A, David Hayslette from craft beverage speaks with Annie Atwell from @JuneShineCo1. They discuss their partnership to create a #sustainable carton that is true to the JuneShine brand:  https://okt.to/dfgK7H  #craft #packaging #sustainability  pic.twitter.com/6AisYlhM6t",0.0,0.867,0.133,0.5994
2256,"3

A new driver for #economy must include reforms of all laws that regulate business activities to ensure the responsible attitude of industries 

#ClimateChange #environment #sustainability #Sustainable #sustainabledevelopment #Facts #Truth #Resistance #Resisters #resist pic.twitter.com/xKSPbBxbw4",0.0,0.86,0.14,0.5994
4344,"Loving my new #rustic #kitchenbench
#upcycle #keeppositive
📍North Shields
🔨 😃 🧰 
.
.
.

#upcycling #handmade #diy #upcycle #recycling #vintage #design #zerowaste #recycle #art #reuse #ecofriendly #sustainable #interiordesign #sustainability #homedecor #railwaysleeper pic.twitter.com/RoAln9juDT – at North Shields",0.0,0.881,0.119,0.5994
9683,"Cowslips at sunset.  Taken at Courtyard Farm, owned by the late Peter Melchett, a pioneer of organic agriculture and early champion for sustainability
.
.
#sustainability
#sustainable
#organic
#wildflowers
#plantsofinstagram
#plants
#cowslip
#primulaveris
#sunset
#n… pic.twitter.com/3mLzZY56hK",0.0,0.891,0.109,0.5994
12082,"super project  #cerlos #IEO #STO #BuildingMaterials #Sustainability #Sustainable #Crowdsale #Bitcoin #Blockchain #Token #ETH #Ethereum #TokenSale.
 https://cerlos.io  https://twitter.com/Moxy_CERLOS/status/1237418068386680842 …",0.0,0.804,0.196,0.5994
4663,"Beautiful Emerald Ring in 18K Yellow Gold. Veto Petal Ring Collection now available for pre-order. 

#rings #diamondring #goldring #platinumring #emeraldring #rubyring #18kgoldring #18kgold
#cultureddiamonds #shinedifferent #labgrowndiamonds #sustainability #sustainable  pic.twitter.com/q3tewLbTwU",0.0,0.878,0.122,0.5994
14212,We can help you to avoid these issues; our team can guide you and support you to maintain a cleaner work environment in the workplace. #environment #workplace #safety #healthandsafety #sustainability #wastemanagement #wecanhelp #recycling #sustainable #safetyfirst #wastedisposal,0.055,0.769,0.176,0.5994
2110,"Visit the link below and learn what you can do to preserve our beautiful nature,  https://p.widencdn.net/e2n0wj/WED_SimpleToolkit …
#EEG #EmiratesEnvironmentalGroup #UNEP #WorldEnvironmentDay #WED #WED2020 #SavethePlanet #Biodiversity #Nature #Preservation #Environmentalism #Sustainability #Sustainable",0.0,0.878,0.122,0.5994
4078,"Environmental protection has become an increasingly important item on the Austrian social and economic policy agenda - something we are proud to see.

#sustainable #ecofriendly #sustainability #zerowaste #organic #handmade #eco #recycle #environment #saynotoplastic pic.twitter.com/alsZTLcdrW",0.0,0.864,0.136,0.5994
6961,"By enabling people to access goods, services, and information in a sustainable manner, eco-mobility supports quality of life, increases travel options and promotes social cohesion. 

#sustainability #Sustainable #emobility #Quality #socialcohesion #enablepeople #ElectricVehicles",0.0,0.855,0.145,0.5994
5104,"As we find new ways of doing things during this pandemic, there is the opportunity to prioritise #sustainability as well. Get started with these 6 tips:  https://hubs.ly/H0p_-8R0 
#sustainable #green",0.0,0.841,0.159,0.5994
12645,.@HP is creating more #sustainable workplaces by evolving everything from building design to #technology selection to business practices that support local and remote workers.  http://ij.ext.hp.com/mag/0663640001574727998/p22 … #sustainability #remotework #futureofwork,0.0,0.841,0.159,0.5994
2243,"Major milestone: Coal consumption falls behind renewable energy in the United States
 https://ecologyfunds.com/index.php/2020/05/29/major-milestone-coal-consumption-falls-behind-renewable-energy-in-the-united-states/ …
#green #greenenergy #investing #etf #etfs #funds #news #stocks #greenbond #sustainable #sustainability #environment #financing #coal #renewableenergy #renewables #usa",0.0,0.851,0.149,0.5994
6462,We are committed to improving environmental sustainability throughout our supply chain. Our tap handle packaging is 100% recyclable made of 70-100% recycled materials. ♻️🌎💚 #Taphandles #MadeForCraft #SellMoreBeer #sustainability #sustainable #recycle #earthday pic.twitter.com/GFWCNVa2Yp,0.0,0.86,0.14,0.5994
2508,"#Fairforce help companies become #green. And green companies grow. Join us here:  https://fairforce.tech/ 
#sustainability #greenbusiness #community #sustainable #greeneconomy #faircommunity pic.twitter.com/vmLl3BwPPD",0.0,0.786,0.214,0.5994
10070,"Our beautiful geometric sling bag. Handmade with 100% cork 🌱
#cork #sustainablefashion #sustainability #sustainable #sustainablestyle #ethicallymade #vintage #veganfashion #design #ethical #eco #ecofriendly #ecofriendlyfashion #fashionmoda #fashionaccessories pic.twitter.com/LUZthAxZ2x",0.0,0.86,0.14,0.5994
1080,"👉Stop polluting air before it stops your breathe.
👉Resolve it by solution not by Pollution
🍀🍀Go Green🍀🍀
🌏 Save the planet 🌍
#environment #nature #sustainability #climatechange #ecofriendly #savetheplanet #zerowaste #sustainable #gogreen #earth #green #recycle #eco pic.twitter.com/mO9FM8PLvv",0.042,0.814,0.144,0.5994
9790,"😍 My beautiful aloë vera flowers, almost there 😍
#aloe #aloevera #flower #flowers #aloeveraflower #aloeveraflowers #nature #sun
#eco #ecologic #ecologico #ecologisch #sustainable #sustainability #nature #vegan…  https://www.instagram.com/p/B9ucSVvI0Im/?igshid=lsjt9nutr7os …",0.0,0.855,0.145,0.5994
2571,"Clean water testing is vital to billions:
 https://ecologyfunds.com/index.php/2020/05/26/clean-water-testing-vital-to-billions/ …
#green #greenenergy #investing #etf #etfs #funds #news #stocks #greenbond #sustainable #sustainability #environment #financing #cleanwater #water #testing #coronavirus #Covid_19",0.0,0.83,0.17,0.5994
8307,Beautiful pic of the day. 🎗️🌲#environment #nature #climatechange #sustainability #ecofriendly #savetheplanet #gogreen #sustainable #green #recycle #zerowaste #earth #eco #plasticfree #pollution #climate #globalwarming #reuse #water #sustainableliving pic.twitter.com/9BNAwOS5T2,0.0,0.865,0.135,0.5994
9255,🍅🍅🍅 Did you hear our positive news recently? We helped #sustainable veg delivery firm @OddboxLDN raise £3m for a regional roll-out! Find out more:  https://clearlyso.com/insight/news-reports-and-think-pieces/sustainable-veg-delivery-firm-raises-3m-for-regional-roll-out-oddbox-clearlyso-impact-investing/ … 🍅🍅🍅 #impinv #investing #sustainability  pic.twitter.com/eEZwtZtsAW,0.0,0.878,0.122,0.5983
14575,Fantastic new #sustainable product from @gomi_design ! #recycle #Sustainability  https://twitter.com/gomi_design/status/1233418415416774657 …,0.0,0.673,0.327,0.5983
13669,#whatwewantedtosayatITB We proudly present: First Results of #Reiseanalyse 2020 - How Germany travels!  Download your copy at  http://bit.ly/RA2020-first-results … #travel #tourism #sustainability #sustainable #ITBBerlin #ITB2020 pic.twitter.com/hAWEC6ZlCq,0.0,0.855,0.145,0.5983
27,"Our Open Call for Innovators for the Future is looking for innovative initiatives that propagate #sustainable solutions on their communities.  

Selected initiatives will participate in TFP Social Impact Accelerator.

Apply! -->  https://lnkd.in/eGRBHuD 
#sustainability",0.0,0.864,0.136,0.5983
2440,"New #Zoom Webinar Event! 
´Is #Sustainability the New Normal?’
June 5th at 9.30AM
Another push to a more #sustainable consumption.

Organized by BRAND MOOKS #magazine

If you want to register, feel free to contact us on PM. pic.twitter.com/TDfQ8q8q3v",0.0,0.877,0.123,0.5983
8856,"Renewable energy sources, like wind and solar power, now generate almost a third of the UK’s #electricity! #sustainability #sustainable #ecofriendly #sustainableliving #environment #climatechange #eco #savetheplanet #innovation #earth #globalwarming #climate #conservation pic.twitter.com/mwhASvUhxk",0.0,0.851,0.149,0.5983
1081,"""TIME FOR NATURE""

Earth provides enough to satisfy every man’s needs, but not every man’s greed.
#worldenvironmentday
#timefornature
#climatechange
#naturefornature
#environment #nature #sustainability #climatechange #ecofriendly #savetheplanet #zerowaste #sustainable #gogreen pic.twitter.com/FWbbpeV4hZ",0.0,0.851,0.149,0.5976
8097,"The Floridian! Our Fun NEW Reusable Menstrual Pad! 

#sustainable #sustainability #reusablepads #reusable #pads #periods #zerowaste #fashion #ecofriendly #soft #bamboo #women #woman #savemoney #affordable #moms…  https://www.instagram.com/p/B-p3P9FH0O4/?igshid=76lglkrfmzye …",0.0,0.861,0.139,0.5972
14163,How can fashion become more #sustainable? That's the question this year's @EUSocialInnov #diogochallenge is asking! Applications to the €50k prize close tomorrow!  https://buff.ly/2SvNGIr  #ecofashion #sustainablefashion #sustainability  pic.twitter.com/HoXomDc5mN,0.0,0.87,0.13,0.5972
8280,"The Floridian! Our Fun NEW Reusable Menstrual Pad! 

#sustainable #sustainability #reusablepads #reusable #pads #periods #zerowaste #fashion #ecofriendly #soft #bamboo #women #woman #savemoney #affordable #moms…  https://www.instagram.com/p/B-kaRS7HjD_/?igshid=etvwoohh6on …",0.0,0.861,0.139,0.5972
14557,"#Sustainable billionaires that have significantly contributed towards bringing down #pollution. Kudos!! to our Captain Planets. 

#solarenergy #solarpower #cleanenergy #renewables #renewableenergy #solarpanels #solarpv #sustainability #gogreen #sustainable #climatechange pic.twitter.com/2DWxmOTTe3",0.0,0.87,0.13,0.5972
9964,Is structural steel a sustainable building product? Take this free course to learn... https://aecdai.ly/blackrockfireproof03 … #CEU #blackrockfireproof #architect #architecture #sustainable #sustainability #buildingproduct #buildingdesign pic.twitter.com/ezsXzg3X38,0.0,0.844,0.156,0.596
8190,"EarthWise is now on Twitter! Follow us for #sustainability news, tips and ideas. Don't forget to visit  http://liveearthwise.com  for more ways to live better. #sustainable #sustainableliving #ecofriendly #ecoholic #zerowaste #livesmart #plasticfree #nature #treehugger pic.twitter.com/Xe3A3gsNWX",0.0,0.868,0.132,0.5938
8730,@WoodlandTrust said: “B&K Structures were able to provide a more comprehensive structural solution that met our #sustainability requirements without compromising aesthetics”.  http://www.bkstructures.co.uk/case-studies/woodland-trust … #sustainable #carbonfootprint pic.twitter.com/di7iSSGR7w,0.0,0.819,0.181,0.5936
8986,"This is a opportunity to learn more about the capabilities of the platform, as well as to find new users and investors. Do not miss the great opportunity
#IEO #STO #buildingmaterials #sustainable #sustainability #Crowdsale #Bitcoin #Blockchain #Token #ETH #Ethereum #TokenSale",0.071,0.732,0.197,0.5927
6854,"Done a vid aimed at ks4 students but it’d be a good intro for A level students if rusty. It’s on sustainability - here’s the link  https://youtu.be/wb1FiCigWnY 
Sorry if it’s silly in places, or I go on too much about carbon footprints! 
#Sustainability #sustainable @DTassoc",0.033,0.846,0.121,0.5916
13662,"FYI some not so #climate-smart investing, in more plastic pollution
 https://derbyfoe.com/co2-from-plastics-biomass-incineration-wid-definition/ …
#sustainability #ICMIFwebinar
#netzerofinance alliance 
#netzero/real zero
Responsible #sustainable #investing",0.0,0.788,0.212,0.5904
3521,"Think party?? 
Think Gonat!! 🤝🏻🎊🎉🍱🥙
gonat
gonatagro@gmail.com
. 
. 
Contact : +919042669210
. 
. 
#gonat #gonatural l #eco #ecofriendly #zerowaste #sustainable #nature #green #sustainability #bio #environment…  https://www.instagram.com/p/CAUap39J-oL/?igshid=1pp4op880zew6 …",0.0,0.839,0.161,0.5892
4692,"There is no PLANET EARTH B!!! WE CALL FOR EFFECTIVE PLANET STEWARDSHIP NOW! PLANET STEWARDSHIP ACTION!!!
#climatechange #environment #environment #sustainability #planet #sustainable #climate #ecofriendly #nature #planetearth #conservation #climatecrisis… https://lnkd.in/dQe3MJW ",0.064,0.789,0.146,0.586
14726,"Is your #university ready for change?
Here are three campaign ideas on #sustainable food, #recycling and responsible consumption
 https://www.greenofficemovement.org/sustainability-campaign-ideas/ …
#GreenOffice #GreenOfficeMovement #sustainability #climatechange #environment #sustainable #college #ClimateAction",0.0,0.839,0.161,0.5859
11481,The organization is growing in every respect precisely and steadily through modern achievements and is moving towards new achievements. #cerlos  #STO #BuildingMaterials #Sustainability #Sustainable #Crowdsale #Bitcoin #Blockchain #Token #ETH #Ethereum #TokenSale,0.0,0.858,0.142,0.5859
10116,"This is Exerglobal such an amazing project
#IEO #STO #BuildingMaterials #Sustainability #Sustainable #Crowdsale #Bitcoin #Blockchain #Token #ETH #Ethereum #TokenSale
 http://www.cerlos.io/ ",0.0,0.833,0.167,0.5859
6266,Global warming . Save the earth by afforestation...#afforestation #GlobalWarming #sustainability #mothernature #safeearth #safeplanet #Sustainable #environment #environmentalAwareness #environmental pic.twitter.com/mhbUXuICte,0.0,0.758,0.242,0.5859
13235,"Brilliant to see @WHSmith stocking #sustainable stationery by @PilotPenUK @STAEMars @Scotch. This section will only get bigger until #sustainablestationery is the norm.  Can you change your stationery? 

#CSR #CSRManagement #Sustainability #whsmith #ecofriendly #ClimateAction pic.twitter.com/7q0gtvVXRl",0.0,0.897,0.103,0.5859
6450,"Over the last ten years, the topic of #Sustainability has moved further into the global collective conscience. Yesterday, we looked at #sustainable beauty. Today, we look at the big picture of investing in sustainability.  https://www.volitioncapital.com/news/investing-in-sustainability-a-green-future/ …",0.0,0.899,0.101,0.5859
13705,"Our collection of classic and stylish FRP #litterbins offers low-cost, customisable solutions for the effective collection of indoor & outdoor #waste.
#recycling #sustainable #ecofriendly #recycle #sustainability #plastic #environment #bins #designersbins #Binance #uae
#dubai pic.twitter.com/TiNeKogshy",0.0,0.866,0.134,0.5859
1038,World Water Day 2020: The role of innovation in creating abundance #netzero #sustainability #green #environment #community #sustainable #collaboration #kindnessontheplanet  https://www.greenbiz.com/article/world-water-day-2020-role-innovation-creating-abundance … pic.twitter.com/6syqVJpPDG,0.0,0.798,0.202,0.5859
13084,"To create a reliable home that everyone dreams of, Cerlos offers high-quality building materials at affordable prices
 https://cerlos.io/ 
#cerlos #IEO #STO #BuildingMaterials #Sustainability #Sustainable #Crowdsale #Bitcoin #Blockchain #Token #ETH #Ethereum #TokenSale",0.0,0.854,0.146,0.5859
3380,"A bold #sustainability move from #Canada. 💡 In order for businesses to receive #Covid19 economic aid, they will be required to disclose their #climate impacts and commit to making environmentally #sustainable decisions. 🌎  https://bit.ly/2ZhXwU7  #TuesdayTip",0.0,0.862,0.138,0.5859
434,"Let's decide strongly to contribute to reducing pollution for a greener and healthy future.

#environment #nature #sustainability #climatechange #ecofriendly #sustainable #gogreen #globalwarming #climate #sustainableliving #environmentallyfriendly #Drrafeena #Sydney #Parramatta pic.twitter.com/qkkSBjoeQU",0.0,0.844,0.156,0.5859
2641,"Learn more about #ClimateChange mitigation and adaptation by watching these amazing documentaries 😍
 https://www.greenofficemovement.org/global-warming-documentaries/ …
#GreenOffice #GreenOfficeMovement #climateaction #climatecrisis #ClimateActionNow #sustainability #sustainable #environment #ClimateAction",0.0,0.847,0.153,0.5859
5614,"Hancock Natural Resource Group (HNRG) takes a leading role for a more #sustainable future with the release of its second annual Report on Sustainable and Responsible Investing (SRI). 
#sustainability #ResponsibleInvesting https://www.globalaginvesting.com/hnrg-takes-leading-role-sustainable-future-releases-second-annual-sustainability-responsible-investing-report/ …",0.0,0.849,0.151,0.5859
1862,"In the final week, the new @ASCETweets course provides strategies for ""Making the Case for #Sustainable #Infrastructure"" based on the #TBL, technology, and successful policies.
 http://ow.ly/ZYAp50zt2BW  #resilient #sdgs #sustainabledevelopment #sustainability #climatechange pic.twitter.com/2DutaDDCgM",0.0,0.891,0.109,0.5859
8919,"'Shovel-ready': Harmony Energy given green light for 50MW grid battery in Salisbury

 https://www.businessgreen.com/news/4013231/shovel-ready-harmony-energy-green-light-50mw-grid-battery-salisbury …
#energy #salisbury #sustainability #environment #solarenergy #gogreen #sustainable #renewableenergy #construction #constructionuk #constructionnews #landreferencing pic.twitter.com/XcOmBJetP3",0.0,0.833,0.167,0.5859
218,World Water Day 2020: The role of innovation in creating abundance #netzero #sustainability #green #environment #community #sustainable #collaboration #kindnessontheplanet  https://www.greenbiz.com/article/world-water-day-2020-role-innovation-creating-abundance … pic.twitter.com/HzbYpVTQE4,0.0,0.798,0.202,0.5859
10787,"Successful urban #mobility transition can be achieved only through cooperation and open communication, as the example of #Amsterdam shows. #SmartCity #SmartMobility #emobility #innovation #technology #sustainable #sustainability #SmartParking #multimodal https://www.weforum.org/agenda/2020/03/co-operation-is-the-key-to-better-urban-transportation-just-ask-amsterdam/ …",0.0,0.881,0.119,0.5859
884,Four new renewable energy projects in South Africa receive support from MIGA #constructionnews #renewables #Sustainability #sustainable  https://constructionreviewonline.com/2020/06/four-new-renewable-energy-power-plant-projects-for-south-africa/ …,0.0,0.758,0.242,0.5859
3799,Isn’t it a thing of beauty #Malt #Muntons #MaltingBarley #Sustainable #Sustainability #GreatBeersBeginWithMuntonsMalt #British pic.twitter.com/XDyiCdNOOo,0.0,0.759,0.241,0.5859
2173,"#sustainable audio @houseofmarley + #regenerative #Sustainability books @robintransition @transitiontowns @andrea_wulf 👍 lovely #birthday gifts, aren't they 😉 pic.twitter.com/KZEkw75unD",0.0,0.787,0.213,0.5859
1919,"A momentous and irreversible shift towards #sustainable finance has taken place over the past few years. Thanks to @RankiaPro for featuring my short piece in this month's '#ESG Special Insights' section. 
 https://www.rankiapro.com/en/magazine/magazine-june-2020/ …
#sustainability #sustainableispowerful pic.twitter.com/XRwViIREL4",0.047,0.807,0.146,0.5859
4730,#plasticfree includes for the washing-up 🧼 for  #natural & #sustainable lovely loofahs 🧽 #waystohelpwednesday #makeachange #environment #green #nature #climatechange #sustainability #ecofriendly #savetheplanet #gogreen #zerowaste #recycle #eco #selfresponsibility #whaticando pic.twitter.com/9YQaVhKoek,0.0,0.868,0.132,0.5859
10584,"Check this out. Vote in the comments.

My vote? Beer bottles VS Aluminum punch outs.....  hmmmm ... I’m going with ... US, we win either way
 #LEED #sustainability #recycling #sustainable #aluminum #plastic #environment #ecofriendly  https://lnkd.in/eMua5GZ ",0.0,0.899,0.101,0.5859
1533,"World Environment Day
Nature is painting for us, day after day, pictures of infinite beauty
#environment #nature #sustainability #climatechange #ecofriendly #savetheplanet #zerowaste #sustainable #gogreen #earth #green #recycle #eco #plasticfree #globalwarming #pollution #USSLLC pic.twitter.com/Uzu8nCkQeW",0.0,0.894,0.106,0.5859
10548,"""Together we can change the world."" - Bas Timmer, founder of the @Sheltersuit Foundation.

Listen on  http://bit.ly/2WnyJwe  & all #podcast apps.

Please share & subscribe!

#seedpod #helpinghand #helpingothers #humanity #care #sustainable #sustainability #designindaba pic.twitter.com/qVrdfMecMw",0.0,0.858,0.142,0.5848
3486,"Take a Peace Treetee and reconcile with Earth!  

Men's 
 http://bit.ly/Treetee 

Women's
 http://bit.ly/treetee2 
#ethical #sustainable #ethicalfashion #sustainablefashion #ecofriendly #fashion #slowfashion #fairtrade #sustainability #organic #ecofashion #ethicallymade pic.twitter.com/bl9PSjl8Vl",0.0,0.858,0.142,0.5848
