,company,raw
0,Starbucks,Establish Starbucks as the premier purveyor of the finest coffee in the world while maintaining our uncompromising principles while we grow.
1,Genentech,To develop drugs to address significant unmet medical needs.
2,Coca Cola,To refresh the worldâ€¦To inspire moments of optimism and happinessâ€¦To create value and make a difference.
3,CAT,"To enable economic growth through infrastructure and energy development, and to provide solutions that support communities and protect the planet."
4,Whole Foods Market,"Our deepest purpose as an organization is helping support the health, well-being, and healing of both people â€” customers, Team Members, and business organizations in general â€” and the planet."
5,3M,"To Improve Every Life through Innovative Giving in Education, Community and the Environment."
6,Home Depot,"The Home Depot is in the home improvement business and our goal is to provide the highest level of service, the broadest selection of products and the most competitive prices."
7,Gilead,"To discover, develop and commercialize therapeutics that advance patient care, while challenging employees to make a difference and building a thriving worldwide enterprise."
8,Du Pont,To create shareholder and societal value while reducing the environmental footprint along the value chains in which we operate.
9,P&G,We will provide branded products and services of superior quality and value that improve the lives of the worldâ€™s consumers.
10,Hubbs Machine & Mfg. Inc.,"Hubbs Machine & Mfg. Inc. will design, develop, manufacture in house, inventory and distribute Optical Targeting and Accessories that support Close Tolerance Industrial Survey Systems such as Computer Aided Theodolites, Photogrammetry Systems, Laser Trackers and other emerging measurement systems. In addition we will be supporting those systems that have yet to be discovered. We understand and appreciate the many challenges the system users face regarding accuracy, complexity and deadline. We will support those users and their deadlines to the best of our ability. Not only with the common off the shelf items, but also diverse and custom items made especially for your particular project. Hubbs Machine & Mfg. Inc. is a valuable tool to you, the end system user, by manufacturing and providing not only common items but also non-standard, small quantity and difficult items as well. Hubbs Machine & Mfg. Inc. is one of many important and necessary links in a long chain of events that must take place in order to bring your project to a successful completion. We will do our best to make that successful completion happen."
11,R.J.B Industries,"To exceed our customers expectations in quality, delivery, and cost through continuous improvement and customer interaction."
12,Peterson Manufacturing Company Inc.,"Peterson Manufacturing Company, Inc. is a metal fabricator built on the assumption that there is an intrinsic value, personal reward and financial reward in producing tangible products and services that offer customers more value than they expect to receive. We, meaning each employee of Peterson? Fab-Master? Lubick, succeed because our customers succeed. We are part of a much larger community to which we are compelled to act responsibly. We act responsibly when we help protect our environment, provide economic opportunity fairly, work safely, and consider the person in all of our business affairs. Our central focus is the production of steel fabrications and assemblies using heavy gauge plate steel (.25â€³+) and/or structural steel components including beams, channels, angles and structural tubing.,Our services include flexible lead times, custom design by application, design for low cost manufacturing, custom delivery schedules, and administrative support. We maintain a solid core of business in proprietary products marketed and sold directly to the end user. This core is in material handling equipment in the form of structural steel racks, industrial trailers and other customized material handling related products. From this core we provide contract manufacturing (job shop) work, using the same skills and equipment. Thus we maintain a presence in a variety of markets including but not limited to"
13,Penta Manufacturing Company,"We provide work environments where our employees can meet their potential and thrive in an atmosphere of excellence.,* We strive to be the industry standard in service to customers.,* We maintain a superior level of integrity in interactions with business partners and associates.,* We appreciate our achieved success and we conduct our business as model corporate citizens."
14,"Ruland Manufacturing Co., Inc.","Ruland Manufacturing Co., Inc. will provide the timely delivery of products whose performance and appearance are in accordance with our tradition of high manufacturing standards."
15,"AccSys Technology, Inc.","AccSys is an integrated design and manufacturing company specializing in the development, production, installation and servicing of ion linear accelerator (linac) systems using the radiofrequency quadrupole (RFQ) linac and drift-tube linac (DTL). Incorporated in 1985, AccSys quickly established itself as the worldwide leader in the development and manufacture of products based on its proven ion linac technology. Our mission is to build on our history of product excellence and technology innovation to provide the highest-quality and most reliable products and services to our world-wide customers in medicine, industry and research."
16,Republic Sales & Manufacturing Co,"To provide superior quality turn-key solutions through custom design, manufacturing, installation and support of plant-related systems."
17,Jewett Machine Manufacturing Company,"To support our customers by providing superior products and services of exceptional value which help them gain competitive advantage in their markets.,* To sustain our vision and mission by constantly seeking renewal via continuous education and learning, and the application of new technologies and best business practices.,* To provide a pleasant, nurturing and growth oriented environment which encourages our employees to be highly productive and to grow personally and professionally.,* To develop diversified markets which provide stability and adequate financial returns which allow us to achieve our vision and to provide opportunity for JEWETT employees that follow us."
18,Propper Manufacturing Company,"* To provide the highest quality product possible through our highly skilled and dedicated employees and state-of-the-art and patented products and manufacturing process.,* To pursue an aggressive, outgoing research and development program thus insuring its future as a leader in sterilization and healthcare products.,* To provide the highest standards of service available through our highly trained, domestic and international field representatives and customer service personnel. Propper employees are expected to serve the customer with the highest level of technical knowledge in the industry."
19,ACME Manufacturing Company,"Our mission is to expand and continually improve utilizing quality practices and employee involvement to manufacture surface finishing systems, for the production manufacturing industry, both in the domestic and international markets, that result in customer and employee satisfaction."
20,Ann Taylor,To inspire and connect with women to put their best selves forward every day.
